bladnr,download_link,download_size_bytes,einddatum,id,jaargang_luchtfoto,startdatum
230000_582000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_230000_582000.zip,13277354,2026/01/01 00:59:59,2f83b9a9-0fee-50ab-bf57-94aa04b59c3b,2025,2025/01/01 01:00:00
230000_584000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_230000_584000.zip,11936376,2026/01/01 00:59:59,1d1e09a6-eaec-5738-a3d3-2827e20c71b3,2025,2025/01/01 01:00:00
230000_586000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_230000_586000.zip,6638349,2026/01/01 00:59:59,34c866bf-d9d4-51d3-b96b-14cdefd8b0f9,2025,2025/01/01 01:00:00
230000_588000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_230000_588000.zip,6035527,2026/01/01 00:59:59,bf3ba00d-03f1-5722-82e0-c07e735510d2,2025,2025/01/01 01:00:00
232000_562000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_232000_562000.zip,12005815,2026/01/01 00:59:59,c3368b74-2397-5543-8286-50e3520d0c86,2025,2025/01/01 01:00:00
232000_564000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_232000_564000.zip,12169834,2026/01/01 00:59:59,baaeb680-d09b-5399-a6b2-ed6a5d2cc393,2025,2025/01/01 01:00:00
232000_566000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_232000_566000.zip,8217329,2026/01/01 00:59:59,86807403-9e8b-5042-989c-26d920ed8185,2025,2025/01/01 01:00:00
232000_568000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_232000_568000.zip,9677748,2026/01/01 00:59:59,c4a82ad9-8428-5824-90c2-79b83fe645d5,2025,2025/01/01 01:00:00
232000_570000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_232000_570000.zip,10262596,2026/01/01 00:59:59,e4d80f7c-d525-5a42-9c4c-4c1bd3b9d9f6,2025,2025/01/01 01:00:00
232000_572000,https://download.pdok.nl/kadaster/basisvoorziening-3d/v1_0/2025/volledig/volledig_2025_232000_572000.zip,13136102,2026/01/01 00:59:59,ceb2ce42-3a89-57b6-9c1b-f24f3d93ef4f,2025,2025/01/01 01:00:00
